module_id,seq_id,domain_type,canonical_domain_type,kingdom,reaction_labels,has_no_reactions
marts_E00596_alpha_0,marts_E00596,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E01348_alpha_0,marts_E01348,alpha,alpha,Bacteria,['di Class 1'],False
marts_E00444_alpha_0,marts_E00444,alpha,alpha,Protists,"['mono Class 1', 'sesq Class 1']",False
marts_E01493_alpha_0,marts_E01493,alpha,alpha,Bacteria,['di Class 1'],False
marts_E00709_ids_0,marts_E00709,ids,alpha,Fungi,['pt'],False
marts_E00520_ids_0,marts_E00520,ids,alpha,Viruses,['pt'],False
marts_E01339_alpha_0,marts_E01339,alpha,alpha,Bacteria,['di Class 1'],False
marts_E00177_beta_0,marts_E00177,beta,beta,Plants,['mono Class 1'],False
marts_E00177_gamma_0,marts_E00177,gamma,gamma,Plants,['mono Class 1'],False
marts_E00177_alpha_0,marts_E00177,alpha,alpha,Plants,['mono Class 1'],False
marts_E00063_beta_0,marts_E00063,beta,beta,Plants,['di Class 1'],False
marts_E00063_gamma_0,marts_E00063,gamma,gamma,Plants,['di Class 1'],False
marts_E00063_alpha_0,marts_E00063,alpha,alpha,Plants,['di Class 1'],False
marts_E00320_beta_0,marts_E00320,beta,beta,Plants,['di Class 1'],False
marts_E00320_alpha_0,marts_E00320,alpha,alpha,Plants,['di Class 1'],False
marts_E00320_gamma_0,marts_E00320,gamma,gamma,Plants,['di Class 1'],False
marts_E01507_beta_0,marts_E01507,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E01507_gamma_0,marts_E01507,gamma,gamma,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E01507_alpha_0,marts_E01507,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00817_beta_0,marts_E00817,beta,beta,Plants,['di Class 2'],False
marts_E00817_gamma_0,marts_E00817,gamma,gamma,Plants,['di Class 2'],False
marts_E00817_alpha_0,marts_E00817,alpha,alpha,Plants,['di Class 2'],False
marts_E00692_beta_0,marts_E00692,beta,beta,Plants,['mono Class 1'],False
marts_E00692_gamma_0,marts_E00692,gamma,gamma,Plants,['mono Class 1'],False
marts_E00692_alpha_0,marts_E00692,alpha,alpha,Plants,['mono Class 1'],False
marts_E01133_beta_0,marts_E01133,beta,beta,Plants,['di Class 1'],False
marts_E01133_alpha_0,marts_E01133,alpha,alpha,Plants,['di Class 1'],False
marts_E01133_gamma_0,marts_E01133,gamma,gamma,Plants,['di Class 1'],False
marts_E00395_beta_0,marts_E00395,beta,beta,Plants,['di Class 2'],False
marts_E00395_gamma_0,marts_E00395,gamma,gamma,Plants,['di Class 2'],False
marts_E00395_alpha_0,marts_E00395,alpha,alpha,Plants,['di Class 2'],False
marts_E01203_beta_0,marts_E01203,beta,beta,Plants,['di Class 2'],False
marts_E01203_gamma_0,marts_E01203,gamma,gamma,Plants,['di Class 2'],False
marts_E01203_alpha_0,marts_E01203,alpha,alpha,Plants,['di Class 2'],False
marts_E01236_ids_0,marts_E01236,ids,alpha,Fungi,"['di Class 1', 'pt']",False
marts_E01236_alpha_0,marts_E01236,alpha,alpha,Fungi,"['di Class 1', 'pt']",False
marts_E00999_ids_0,marts_E00999,ids,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E00999_alpha_0,marts_E00999,alpha,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E00426_beta_0,marts_E00426,beta,beta,Plants,['di Class 2'],False
marts_E00426_gamma_0,marts_E00426,gamma,gamma,Plants,['di Class 2'],False
marts_E00426_ids_0,marts_E00426,ids,alpha,Plants,['di Class 2'],False
marts_E00074_beta_0,marts_E00074,beta,beta,Plants,['mono Class 1'],False
marts_E00074_alpha_0,marts_E00074,alpha,alpha,Plants,['mono Class 1'],False
marts_E00416_beta_0,marts_E00416,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00416_alpha_0,marts_E00416,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00929_beta_0,marts_E00929,beta,beta,Plants,['sesq Class 1'],False
marts_E00929_alpha_0,marts_E00929,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01531_beta_0,marts_E01531,beta,beta,Plants,['sesq Class 1'],False
marts_E01531_alpha_0,marts_E01531,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00647_beta_0,marts_E00647,beta,beta,Plants,['mono Class 1'],False
marts_E00647_alpha_0,marts_E00647,alpha,alpha,Plants,['mono Class 1'],False
marts_E01202_beta_0,marts_E01202,beta,beta,Plants,['mono Class 1'],False
marts_E01202_alpha_0,marts_E01202,alpha,alpha,Plants,['mono Class 1'],False
marts_E00774_beta_0,marts_E00774,beta,beta,Plants,['sesq Class 1'],False
marts_E00774_alpha_0,marts_E00774,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00572_beta_0,marts_E00572,beta,beta,Plants,['mono Class 1'],False
marts_E00572_alpha_0,marts_E00572,alpha,alpha,Plants,['mono Class 1'],False
marts_E00911_beta_0,marts_E00911,beta,beta,Plants,['sesq Class 1'],False
marts_E00911_alpha_0,marts_E00911,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00049_beta_0,marts_E00049,beta,beta,Plants,['mono Class 1'],False
marts_E00049_alpha_0,marts_E00049,alpha,alpha,Plants,['mono Class 1'],False
marts_E00623_beta_0,marts_E00623,beta,beta,Plants,['sesq Class 1'],False
marts_E00623_alpha_0,marts_E00623,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00044_beta_0,marts_E00044,beta,beta,Plants,['mono Class 1'],False
marts_E00044_alpha_0,marts_E00044,alpha,alpha,Plants,['mono Class 1'],False
marts_E00206_beta_0,marts_E00206,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00206_alpha_0,marts_E00206,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00762_beta_0,marts_E00762,beta,beta,Plants,['sesq Class 1'],False
marts_E00762_alpha_0,marts_E00762,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00789_beta_0,marts_E00789,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00789_alpha_0,marts_E00789,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00017_beta_0,marts_E00017,beta,beta,Plants,['di Class 1'],False
marts_E00017_alpha_0,marts_E00017,alpha,alpha,Plants,['di Class 1'],False
marts_E01014_beta_0,marts_E01014,beta,beta,Plants,['sesq Class 1'],False
marts_E01014_alpha_0,marts_E01014,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01073_beta_0,marts_E01073,beta,beta,Plants,['sesq Class 1'],False
marts_E01073_alpha_0,marts_E01073,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01074_beta_0,marts_E01074,beta,beta,Plants,['sesq Class 1'],False
marts_E01074_alpha_0,marts_E01074,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01015_beta_0,marts_E01015,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E01015_alpha_0,marts_E01015,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E01283_beta_0,marts_E01283,beta,beta,Plants,['sesq Class 1'],False
marts_E01283_alpha_0,marts_E01283,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01285_beta_0,marts_E01285,beta,beta,Plants,['sesq Class 1'],False
marts_E01285_alpha_0,marts_E01285,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01209_beta_0,marts_E01209,beta,beta,Plants,['sesq Class 1'],False
marts_E01209_alpha_0,marts_E01209,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00844_beta_0,marts_E00844,beta,beta,Plants,['sesq Class 1'],False
marts_E00844_alpha_0,marts_E00844,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01265_beta_0,marts_E01265,beta,beta,Plants,['sesq Class 1'],False
marts_E01265_alpha_0,marts_E01265,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00849_beta_0,marts_E00849,beta,beta,Plants,['mono Class 1'],False
marts_E00849_alpha_0,marts_E00849,alpha,alpha,Plants,['mono Class 1'],False
marts_E00043_beta_0,marts_E00043,beta,beta,Plants,['sesq Class 1'],False
marts_E00043_alpha_0,marts_E00043,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00516_beta_0,marts_E00516,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00516_alpha_0,marts_E00516,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00554_ids_0,marts_E00554,ids,alpha,Plants,['sqs'],False
marts_E01327_ids_0,marts_E01327,ids,alpha,Bacteria,['sesquar Class 1'],False
marts_E01225_ids_0,marts_E01225,ids,alpha,Animals,"['di Class 1', 'mono Class 1', 'sesq Class 1']",False
marts_E01402_ids_0,marts_E01402,ids,alpha,Bacteria,"['di Class 1', 'sesquar Class 1', 'sester Class 1', 'tri Class 1']",False
marts_E01302_alpha_0,marts_E01302,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E00255_ids_0,marts_E00255,ids,alpha,Plants,['pt'],False
marts_E01268_alpha_0,marts_E01268,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E00441_ids_0,marts_E00441,ids,alpha,Bacteria,['pt'],False
marts_E00945_alpha_0,marts_E00945,alpha,alpha,Fungi,"['mono Class 1', 'sesq Class 1']",False
marts_E00876_alpha_0,marts_E00876,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E00053_alpha_0,marts_E00053,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E01186_alpha_0,marts_E01186,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01401_alpha_0,marts_E01401,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E00942_alpha_0,marts_E00942,alpha,alpha,Bacteria,['sesq Class 1'],False
marts_E01263_ids_0,marts_E01263,ids,alpha,Fungi,['pt'],False
marts_E01369_alpha_0,marts_E01369,alpha,alpha,Bacteria,"['di Class 1', 'mono Class 1', 'sesq Class 1']",False
marts_E01329_alpha_0,marts_E01329,alpha,alpha,Bacteria,['sester Class 1'],False
marts_E01309_alpha_0,marts_E01309,alpha,alpha,Bacteria,['sester Class 1'],False
marts_E00833_alpha_0,marts_E00833,alpha,alpha,Bacteria,['sesq Class 1'],False
marts_E01338_alpha_0,marts_E01338,alpha,alpha,Bacteria,['di Class 1'],False
marts_E00107_alpha_0,marts_E00107,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E00472_ids_0,marts_E00472,ids,alpha,Bacteria,['pt'],False
marts_E01496_alpha_0,marts_E01496,alpha,alpha,Bacteria,['sesq Class 1'],False
marts_E00657_beta_0,marts_E00657,beta,beta,Plants,['di Class 1'],False
marts_E00657_gamma_0,marts_E00657,gamma,gamma,Plants,['di Class 1'],False
marts_E00657_alpha_0,marts_E00657,alpha,alpha,Plants,['di Class 1'],False
marts_E01483_beta_0,marts_E01483,beta,beta,Plants,['di Class 1'],False
marts_E01483_gamma_0,marts_E01483,gamma,gamma,Plants,['di Class 1'],False
marts_E01483_alpha_0,marts_E01483,alpha,alpha,Plants,['di Class 1'],False
marts_E00186_beta_0,marts_E00186,beta,beta,Plants,['di Class 1'],False
marts_E00186_gamma_0,marts_E00186,gamma,gamma,Plants,['di Class 1'],False
marts_E00186_alpha_0,marts_E00186,alpha,alpha,Plants,['di Class 1'],False
marts_E00367_beta_0,marts_E00367,beta,beta,Plants,['sesq Class 1'],False
marts_E00367_gamma_0,marts_E00367,gamma,gamma,Plants,['sesq Class 1'],False
marts_E00367_alpha_0,marts_E00367,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01142_beta_0,marts_E01142,beta,beta,Plants,['di Class 2'],False
marts_E01142_gamma_0,marts_E01142,gamma,gamma,Plants,['di Class 2'],False
marts_E01142_alpha_0,marts_E01142,alpha,alpha,Plants,['di Class 2'],False
marts_E00719_beta_0,marts_E00719,beta,beta,Plants,"['di Class 1', 'di Class 2']",False
marts_E00719_gamma_0,marts_E00719,gamma,gamma,Plants,"['di Class 1', 'di Class 2']",False
marts_E00719_alpha_0,marts_E00719,alpha,alpha,Plants,"['di Class 1', 'di Class 2']",False
marts_E00302_beta_0,marts_E00302,beta,beta,Plants,['di Class 2'],False
marts_E00302_gamma_0,marts_E00302,gamma,gamma,Plants,['di Class 2'],False
marts_E00302_alpha_0,marts_E00302,alpha,alpha,Plants,['di Class 2'],False
marts_E00991_ids_0,marts_E00991,ids,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E00991_alpha_0,marts_E00991,alpha,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E01136_ids_0,marts_E01136,ids,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E01136_alpha_0,marts_E01136,alpha,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E01410_beta_0,marts_E01410,beta,beta,Plants,['di Class 2'],False
marts_E01410_gamma_0,marts_E01410,gamma,gamma,Plants,['di Class 2'],False
marts_E01410_alpha_0,marts_E01410,alpha,alpha,Plants,['di Class 2'],False
marts_E00605_ids_0,marts_E00605,ids,alpha,Fungi,"['pt', 'tri Class 1']",False
marts_E00605_alpha_0,marts_E00605,alpha,alpha,Fungi,"['pt', 'tri Class 1']",False
marts_E00134_beta_0,marts_E00134,beta,beta,Plants,['sester Class 1'],False
marts_E00134_alpha_0,marts_E00134,alpha,alpha,Plants,['sester Class 1'],False
marts_E01031_beta_0,marts_E01031,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E01031_alpha_0,marts_E01031,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00721_beta_0,marts_E00721,beta,beta,Plants,['mono Class 1'],False
marts_E00721_alpha_0,marts_E00721,alpha,alpha,Plants,['mono Class 1'],False
marts_E00073_beta_0,marts_E00073,beta,beta,Plants,['mono Class 1'],False
marts_E00073_alpha_0,marts_E00073,alpha,alpha,Plants,['mono Class 1'],False
marts_E00545_beta_0,marts_E00545,beta,beta,Plants,['sesq Class 1'],False
marts_E00545_alpha_0,marts_E00545,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00598_beta_0,marts_E00598,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00598_alpha_0,marts_E00598,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E01148_beta_0,marts_E01148,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E01148_alpha_0,marts_E01148,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00288_beta_0,marts_E00288,beta,beta,Plants,['mono Class 1'],False
marts_E00288_alpha_0,marts_E00288,alpha,alpha,Plants,['mono Class 1'],False
marts_E00081_beta_0,marts_E00081,beta,beta,Plants,['mono Class 1'],False
marts_E00081_alpha_0,marts_E00081,alpha,alpha,Plants,['mono Class 1'],False
marts_E01514_beta_0,marts_E01514,beta,beta,Plants,['mono Class 1'],False
marts_E01514_alpha_0,marts_E01514,alpha,alpha,Plants,['mono Class 1'],False
marts_E01394_beta_0,marts_E01394,beta,beta,Plants,['sesq Class 1'],False
marts_E01394_alpha_0,marts_E01394,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01029_beta_0,marts_E01029,beta,beta,Plants,['sesq Class 1'],False
marts_E01029_alpha_0,marts_E01029,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00684_beta_0,marts_E00684,beta,beta,Plants,['sesq Class 1'],False
marts_E00684_alpha_0,marts_E00684,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00772_beta_0,marts_E00772,beta,beta,Plants,['sesq Class 1'],False
marts_E00772_alpha_0,marts_E00772,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00629_beta_0,marts_E00629,beta,beta,Plants,['sesq Class 1'],False
marts_E00629_alpha_0,marts_E00629,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00926_beta_0,marts_E00926,beta,beta,Plants,['sesq Class 1'],False
marts_E00926_alpha_0,marts_E00926,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00415_beta_0,marts_E00415,beta,beta,Plants,['mono Class 1'],False
marts_E00415_alpha_0,marts_E00415,alpha,alpha,Plants,['mono Class 1'],False
marts_E00893_beta_0,marts_E00893,beta,beta,Plants,['sesq Class 1'],False
marts_E00893_alpha_0,marts_E00893,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01371_beta_0,marts_E01371,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E01371_alpha_0,marts_E01371,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E01071_beta_0,marts_E01071,beta,beta,Plants,['sesq Class 1'],False
marts_E01071_alpha_0,marts_E01071,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00836_beta_0,marts_E00836,beta,beta,Plants,['sesq Class 1'],False
marts_E00836_alpha_0,marts_E00836,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01055_beta_0,marts_E01055,beta,beta,Plants,['sesq Class 1'],False
marts_E01055_alpha_0,marts_E01055,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00366_beta_0,marts_E00366,beta,beta,Plants,['mono Class 1'],False
marts_E00366_alpha_0,marts_E00366,alpha,alpha,Plants,['mono Class 1'],False
marts_E00758_beta_0,marts_E00758,beta,beta,Plants,['sesq Class 1'],False
marts_E00758_alpha_0,marts_E00758,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01515_beta_0,marts_E01515,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E01515_alpha_0,marts_E01515,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E01261_beta_0,marts_E01261,beta,beta,Plants,['sesq Class 1'],False
marts_E01261_alpha_0,marts_E01261,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00650_alpha_0,marts_E00650,alpha,alpha,Animals,['di Class 1'],False
marts_E00881_alpha_0,marts_E00881,alpha,alpha,Animals,"['di Class 1', 'mono Class 1', 'sesq Class 1']",False
marts_E01440_alpha_0,marts_E01440,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01172_alpha_0,marts_E01172,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E00196_ids_0,marts_E00196,ids,alpha,Animals,['pt'],False
marts_E01474_alpha_0,marts_E01474,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E00192_ids_0,marts_E00192,ids,alpha,Fungi,['pt'],False
marts_E01484_ids_0,marts_E01484,ids,alpha,Fungi,['di Class 1'],False
marts_E01457_alpha_0,marts_E01457,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E01276_alpha_0,marts_E01276,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E00796_alpha_0,marts_E00796,alpha,alpha,Bacteria,['sesq Class 1'],False
marts_E00739_alpha_0,marts_E00739,alpha,alpha,Protists,"['mono Class 1', 'sesq Class 1']",False
marts_E00864_alpha_0,marts_E00864,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E00146_ids_0,marts_E00146,ids,alpha,Plants,['pt'],False
marts_E00952_alpha_0,marts_E00952,alpha,alpha,Bacteria,['sesq Class 1'],False
marts_E01347_alpha_0,marts_E01347,alpha,alpha,Bacteria,['di Class 1'],False
marts_E01365_alpha_0,marts_E01365,alpha,alpha,Bacteria,['di Class 1'],False
marts_E01091_alpha_0,marts_E01091,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E00805_alpha_0,marts_E00805,alpha,alpha,Bacteria,"['mono Class 1', 'sesq Class 1']",False
marts_E00905_alpha_0,marts_E00905,alpha,alpha,Bacteria,['mono Class 1'],False
marts_E00878_alpha_0,marts_E00878,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E00013_alpha_0,marts_E00013,alpha,alpha,Animals,"['mono Class 1', 'sesq Class 1']",False
marts_E01468_alpha_0,marts_E01468,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E00380_ids_0,marts_E00380,ids,alpha,Plants,['pt'],False
marts_E00807_ids_0,marts_E00807,ids,alpha,Bacteria,"['psy', 'tetra Class 2']",False
marts_E00884_gamma_0,marts_E00884,gamma,gamma,Plants,['di Class 1'],False
marts_E00884_beta_0,marts_E00884,beta,beta,Plants,['di Class 1'],False
marts_E00884_alpha_0,marts_E00884,alpha,alpha,Plants,['di Class 1'],False
marts_E00537_beta_0,marts_E00537,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00537_gamma_0,marts_E00537,gamma,gamma,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00537_alpha_0,marts_E00537,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E01311_beta_0,marts_E01311,beta,beta,Plants,['di Class 1'],False
marts_E01311_gamma_0,marts_E01311,gamma,gamma,Plants,['di Class 1'],False
marts_E01311_alpha_0,marts_E01311,alpha,alpha,Plants,['di Class 1'],False
marts_E01119_beta_0,marts_E01119,beta,beta,Plants,['di Class 2'],False
marts_E01119_gamma_0,marts_E01119,gamma,gamma,Plants,['di Class 2'],False
marts_E01119_ids_0,marts_E01119,ids,alpha,Plants,['di Class 2'],False
marts_E00312_beta_0,marts_E00312,beta,beta,Plants,"['di Class 1', 'di Class 2']",False
marts_E00312_gamma_0,marts_E00312,gamma,gamma,Plants,"['di Class 1', 'di Class 2']",False
marts_E00312_alpha_0,marts_E00312,alpha,alpha,Plants,"['di Class 1', 'di Class 2']",False
marts_E01506_beta_0,marts_E01506,beta,beta,Plants,['di Class 1'],False
marts_E01506_gamma_0,marts_E01506,gamma,gamma,Plants,['di Class 1'],False
marts_E01506_alpha_0,marts_E01506,alpha,alpha,Plants,['di Class 1'],False
marts_E01139_beta_0,marts_E01139,beta,beta,Plants,['di Class 1'],False
marts_E01139_gamma_0,marts_E01139,gamma,gamma,Plants,['di Class 1'],False
marts_E01139_alpha_0,marts_E01139,alpha,alpha,Plants,['di Class 1'],False
marts_E01412_beta_0,marts_E01412,beta,beta,Plants,['di Class 2'],False
marts_E01412_gamma_0,marts_E01412,gamma,gamma,Plants,['di Class 2'],False
marts_E01412_alpha_0,marts_E01412,alpha,alpha,Plants,['di Class 2'],False
marts_E00828_ids_0,marts_E00828,ids,alpha,Fungi,"['di Class 1', 'pt']",False
marts_E00828_alpha_0,marts_E00828,alpha,alpha,Fungi,"['di Class 1', 'pt']",False
marts_E01248_ids_0,marts_E01248,ids,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E01248_alpha_0,marts_E01248,alpha,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E01211_ids_0,marts_E01211,ids,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E01211_alpha_0,marts_E01211,alpha,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E00002_beta_0,marts_E00002,beta,beta,Plants,['di Class 2'],False
marts_E00002_alpha_0,marts_E00002,alpha,alpha,Plants,['di Class 2'],False
marts_E00002_gamma_0,marts_E00002,gamma,gamma,Plants,['di Class 2'],False
marts_E01033_beta_0,marts_E01033,beta,beta,Plants,['sesq Class 1'],False
marts_E01033_alpha_0,marts_E01033,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00928_beta_0,marts_E00928,beta,beta,Plants,['sesq Class 1'],False
marts_E00928_alpha_0,marts_E00928,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00852_beta_0,marts_E00852,beta,beta,Plants,['mono Class 1'],False
marts_E00852_alpha_0,marts_E00852,alpha,alpha,Plants,['mono Class 1'],False
marts_E00117_beta_0,marts_E00117,beta,beta,Plants,['mono Class 1'],False
marts_E00117_alpha_0,marts_E00117,alpha,alpha,Plants,['mono Class 1'],False
marts_E01153_beta_0,marts_E01153,beta,beta,Plants,['sesq Class 1'],False
marts_E01153_alpha_0,marts_E01153,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00181_beta_0,marts_E00181,beta,beta,Plants,['mono Class 1'],False
marts_E00181_alpha_0,marts_E00181,alpha,alpha,Plants,['mono Class 1'],False
marts_E01012_beta_0,marts_E01012,beta,beta,Plants,['mono Class 1'],False
marts_E01012_alpha_0,marts_E01012,alpha,alpha,Plants,['mono Class 1'],False
marts_E00938_beta_0,marts_E00938,beta,beta,Plants,['sesq Class 1'],False
marts_E00938_alpha_0,marts_E00938,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00229_beta_0,marts_E00229,beta,beta,Plants,['mono Class 1'],False
marts_E00229_alpha_0,marts_E00229,alpha,alpha,Plants,['mono Class 1'],False
marts_E00065_beta_0,marts_E00065,beta,beta,Plants,['mono Class 1'],False
marts_E00065_alpha_0,marts_E00065,alpha,alpha,Plants,['mono Class 1'],False
marts_E00046_beta_0,marts_E00046,beta,beta,Plants,['mono Class 1'],False
marts_E00046_alpha_0,marts_E00046,alpha,alpha,Plants,['mono Class 1'],False
marts_E01378_beta_0,marts_E01378,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E01378_alpha_0,marts_E01378,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00763_beta_0,marts_E00763,beta,beta,Plants,['sesq Class 1'],False
marts_E00763_alpha_0,marts_E00763,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00022_beta_0,marts_E00022,beta,beta,Plants,['sesq Class 1'],False
marts_E00022_alpha_0,marts_E00022,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00089_beta_0,marts_E00089,beta,beta,Plants,['mono Class 1'],False
marts_E00089_alpha_0,marts_E00089,alpha,alpha,Plants,['mono Class 1'],False
marts_E00270_beta_0,marts_E00270,beta,beta,Plants,['sesq Class 1'],False
marts_E00270_alpha_0,marts_E00270,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01176_beta_0,marts_E01176,beta,beta,Plants,['sesq Class 1'],False
marts_E01176_alpha_0,marts_E01176,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00831_beta_0,marts_E00831,beta,beta,Plants,['di Class 1'],False
marts_E00831_alpha_0,marts_E00831,alpha,alpha,Plants,['di Class 1'],False
marts_E00786_beta_0,marts_E00786,beta,beta,Plants,['mono Class 1'],False
marts_E00786_alpha_0,marts_E00786,alpha,alpha,Plants,['mono Class 1'],False
marts_E00603_beta_0,marts_E00603,beta,beta,Plants,['mono Class 1'],False
marts_E00603_alpha_0,marts_E00603,alpha,alpha,Plants,['mono Class 1'],False
marts_E00286_beta_0,marts_E00286,beta,beta,Plants,['sesq Class 1'],False
marts_E00286_alpha_0,marts_E00286,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00425_beta_0,marts_E00425,beta,beta,Plants,['sesq Class 1'],False
marts_E00425_alpha_0,marts_E00425,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00543_beta_0,marts_E00543,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00543_alpha_0,marts_E00543,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E01101_beta_0,marts_E01101,beta,beta,Plants,['sesq Class 1'],False
marts_E01101_alpha_0,marts_E01101,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00075_beta_0,marts_E00075,beta,beta,Plants,['mono Class 1'],False
marts_E00075_alpha_0,marts_E00075,alpha,alpha,Plants,['mono Class 1'],False
marts_E00340_beta_0,marts_E00340,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00340_alpha_0,marts_E00340,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00747_beta_0,marts_E00747,beta,beta,Plants,['mono Class 1'],False
marts_E00747_alpha_0,marts_E00747,alpha,alpha,Plants,['mono Class 1'],False
marts_E00328_beta_0,marts_E00328,beta,beta,Plants,['sesq Class 1'],False
marts_E00328_alpha_0,marts_E00328,alpha,alpha,Plants,['sesq Class 1'],False
